Department Name,Course Code,Course Title,Type,Prerequisites,Theoritical,Practical,Course Credits,ECTS
Political Science and International Relations Department (in Turkish),SYS 402,Turkish Foreign Policy,Required,SYS 202,3,0,3,6
Political Science and International Relations Department (in English),POLS 402,Turkish Foreign Policy,Required,POLS 202,3,0,3,6
Psychology Department (in Turkish),PSI 402,Psikolojide Tarih ve Sistemler,Required,At Least Success 68 Crh.,3,0,3,6
Psychology Department (in English),PSY 414,History and Systems in Psychology,Required,,3,0,3,6
Sociology Department,SOC 458,Historical Sociology,Required,,3,0,3,6
Philosophy Department,PHIL 402,Contemporary Philosophy,Required,,3,0,3,6
Philosophy Department,PHIL 404,Political Philosophy,Required,,3,0,3,6
Philosophy Department,PHIL 406,Graduate Project,Required,,3,0,3,6
History Department,HIST 402,Contemporary Historiography,Required,,3,0,3,7
History Department,HIST 406,Senior Project,Required,,3,0,3,9
Turkish Language and Literature Department,LIT 406,Literature and Humanities,Required,,3,0,3,6
English Language and Literature Department,ELIT 404,World Literature,Required,,3,0,3,6
Translation and Interpretation Department,TRI 402,Translation Criticism,Required,TRI 301,3,0,3,6
Translation and Interpretation Department,TRI 404,Senior Project,Required,,3,0,3,9
Industrial Engineering Department (in English),ENGR 498,Global Design Project II Synthesis,Required,"At Least Success 90 Crh, ENGR 497",1,2,2,10
Industrial Engineering Department (in Turkish),MDB 498,Bitirme Projesi II,Required,"Senior standing and GPA at least 2.00, MDB 497",1,2,2,10
Computer Science and Engineering Department,ENGR 498,Global Design Project II Synthesis,Required,"At Least Success 90 Crh, ENGR 497",1,2,2,10
Computer Science and Engineering Department,UNI 202,Formations of Modern Turkey II,Required,,3,0,3,5
Electrical and Electronics Engineering Department,ENGR 498,Global Design Project II Synthesis,Required,"At Least Success 90 Crh, ENGR 497",1,2,2,10
Electrical and Electronics Engineering Department,IE 451,Project Management,Required,Jenior Year Standing,2,1,3,5
Civil Engineering Department,ENGR 498,Global Design Project II Synthesis,Required,"At Least Success 90 Crh, ENGR 497",1,2,2,10
Mechanical Engineering Department,ENGR 498,Global Design Project II Synthesis,Required,"At Least Success 90 Crh, ENGR 497",1,2,2,10
Mechanical Engineering Department,ME 441,Computer Aided Analysis,Required,"At Least Success 90 Crh, ME 331",2,2,3,5
Management Department,MGT 436,Entrepreneurship,Required,,3,0,3,6
International Trade and Management Department,ITM 300,Internship II,Required,,0,0,0,5
International Trade and Management Department,ITM 406,Global Business Strategy,Required,,3,2,4,8
Entrepreneurship Department,GIR 300,Internship 2,Required,,0,0,0,5
Entrepreneurship Department,YBS 451,Proje Yönetimi,Required,,3,0,3,10
Cinema and Television Department (in Turkish),STV 402,Mezuniyet Projesi Yapımı,Required,,3,2,4,15
Cinema and Television Department (in Turkish),STV 404,Dünya Sineması,Required,,3,0,3,5
Cinema and Television Department (in English),CTV 402,Senior Graduation Project,Required,CTV 401,3,2,4,15
Cinema and Television Department (in English),CTV 404,World Cinema,Required,,3,0,3,5
Public Relations and Advertising Department,HIL 402,Senior Project Production,Required,,3,2,4,10
Public Relations and Advertising Department,HIL 404,Consumer Behaviour,Required,,3,0,3,5
New Media and Communication Department,YMI 402,Mezuniyet Projesi Yapımı,Required,,3,2,4,10
New Media and Communication Department,YMI 404,Yeni Medya Alanında Güncel Yaklaşımlar,Required,,3,0,3,5
Islamic Studies,ISS 404,Islamic Criminal Law and International Relations,Required,"UNI 124, ISS 104",2,2,3,5
Islamic Studies,ISS 408,Turkish Islamic Literature,Required,,2,0,2,3
Islamic Studies,ISS 410,History of Tasavvuf,Required,UNI 124,3,0,3,5
Islamic Studies,ISS 412,History of Religion: Christianity and Contemporary Religious Movements,Required,,2,1,3,5
Islamic Studies,ISS 414,Modern Islamic Thought,Required,UNI 124,2,0,2,3
Islamic Studies,ISS 416,Philolosphy of Religion,Required,UNI 124,2,0,2,3
Islamic Studies,ISS 418,Graduation Project,Required,,1,3,2,3
Law,HUK 402,Law of Execution and Bankruptcy II,Required,,2,2,3,5
Law,HUK 404,Tax Law,Required,,3,0,3,4
Law,HUK 406,Labor and Social Security Law II,Required,,3,0,3,4
Law,HUK 408,Law of Criminal Procedure II,Required,,2,2,3,5
Law,HUK 410,Maritime Commercial Law,Required,,2,0,2,3
Law,HUK 416,Law of Inheritance,Required,,2,0,2,3
Law,LAW 412,International Private Law II,Required,,2,2,3,5
Public Relations and Publicity,HTP 202,Kurumsal Sosyal Sorumluluk,Required,,3,0,3,5
Public Relations and Publicity,HTP 204,Müşteri İlişkileri Yönetimi,Required,,3,0,3,5
Public Relations and Publicity,HTP 206,Halkla İlişkilerde Metin Yazarlığı,Required,,3,0,3,5
Social Services,SOP 202,Sosyal Hizmet Ortamlarında İnceleme ve Gözlem,Required,,3,0,3,5
Social Services,SOP 204,Social Development And Social Service,Required,,3,0,3,5
Social Services,SOP 206,Guidelines And Techniques For Social Service Interview,Required,,3,0,3,5
Occupational Health and Safety,ISP 202,Occupational Safety Legislation II,Required,,3,0,3,5
Occupational Health and Safety,ISP 204,Handling And Storage,Required,,3,0,3,5
Occupational Health and Safety,ISP 212,Machinery And Equipment,Required,,3,0,3,5
Construction Technology,ITP 202,Construction Quantity Survey And Cost,Required,,3,0,3,6
Construction Technology,ITP 204,Highway Construction,Required,,3,0,3,6
Construction Technology,ITP 206,System Analysis,Required,,2,2,3,7
Photography and Videography,FKP 202,Video Shooting Techniques IV,Required,,1,2,2,5
Photography and Videography,FKP 204,Video Reporting,Required,,2,2,3,6
Photography and Videography,FKP 206,Reading Photography,Required,,2,0,2,4
Photography and Videography,FKP 208,Press Photography,Required,,2,0,2,4
Justice,ADP 202,Touch Typing Techniques IV,Required,,1,2,2,5
Justice,ADP 204,Law Of Criminal Procedure,Required,,3,0,3,4
Justice,ADP 206,Tax Law,Required,,3,0,3,3
Justice,ADP 208,Law Of Commercial Papers,Required,,2,0,2,3
Justice (Evening education),ADP 202,Touch Typing Techniques IV,Required,,1,2,2,5
Justice (Evening education),ADP 204,Law Of Criminal Procedure,Required,,3,0,3,4
Justice (Evening education),ADP 206,Tax Law,Required,,3,0,3,3
Justice (Evening education),ADP 208,Law Of Commercial Papers,Required,,2,0,2,3
Computer Programming,BPP 202,Visual Programing II,Required,,2,2,3,6
Computer Programming,BPP 204,Internet Programming II,Required,,2,2,3,6
Computer Programming,BPP 206,Temel Elektronik,Required,,2,0,2,6
Computer Programming (Evening education),BPP 202,Visual Programing II,Required,,2,2,3,6
Computer Programming (Evening education),BPP 204,Internet Programming II,Required,,2,2,3,6
Computer Programming (Evening education),BPP 206,Temel Elektronik,Required,,2,0,2,6
Child Development,CGP 202,Private Education Institution Placement,Required,,0,8,4,5
Child Development,CGP 204,"Child Abuse, Negligence And Children In Need Of Protection",Required,,2,0,2,3
Child Development,CGP 206,Learning And Teaching Techniques,Required,,3,0,3,4
Child Development,CGP 208,Children’s Healthand Diseases,Required,,3,0,3,4
Child Development (Evening education),CGP 202,Private Education Institution Placement,Required,,0,8,4,5
Child Development (Evening education),CGP 204,"Child Abuse, Negligence And Children In Need Of Protection",Required,,2,0,2,3
Child Development (Evening education),CGP 206,Learning And Teaching Techniques,Required,,3,0,3,4
Child Development (Evening education),CGP 208,Children’s Healthand Diseases,Required,,3,0,3,4
Graphic Design,GTP 202,Visual Design In Practice,Required,,2,2,3,6
Graphic Design,GTP 204,Illustration II,Required,,2,2,3,5
Graphic Design,GTP 206,Publication Graphics II,Required,,1,2,2,4
Political Science and International Relations Department (in Turkish),ARAB 101,Arabic I,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),ARAB 102,Arabic II,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),ARAB 201,Arabic III,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),ARAB 202,Arabic IV,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),CHI 101,Chinese I,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),CHI 102,Chinese II,Fakülte/Genel Seçmeli,,0,0,3,5
Political Science and International Relations Department (in Turkish),EM 200,Staj Dersi I,Fakülte/Genel Seçmeli,,0,0,0,5
Political Science and International Relations Department (in Turkish),EM 210,Ekonomiye Giriş,Fakülte/Genel Seçmeli,MDB 100,3,0,3,5
Political Science and International Relations Department (in Turkish),EM 300,Staj Dersi II,Fakülte/Genel Seçmeli,,3,0,0,5
Political Science and International Relations Department (in Turkish),EM 306,Maliyet Muhasebesi,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),EM 316,Mühendislik Ekonomisi,Fakülte/Genel Seçmeli,MDB 252,2,2,3,5
Political Science and International Relations Department (in Turkish),EM 321,Yöneylem Araştırması I,Fakülte/Genel Seçmeli,MAT 205,2,2,3,5
Political Science and International Relations Department (in Turkish),EM 322,Yöneylem Araştırması II,Fakülte/Genel Seçmeli,EM 321,2,2,3,5
Political Science and International Relations Department (in Turkish),EM 324,Simülasyon,Fakülte/Genel Seçmeli,MDB 251,2,2,3,5
Political Science and International Relations Department (in Turkish),EM 344,Üretim Sistemleri Tasarım ve Analizi,Fakülte/Genel Seçmeli,"EM 321, MDB 252",2,2,3,5
Political Science and International Relations Department (in Turkish),EM 371,İş Etüdü ve Ergonomi,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),EM 425,Tesis Planlama,Fakülte/Genel Seçmeli,Senior standing and GPA at least 2.00,3,0,3,5
Political Science and International Relations Department (in Turkish),EM 433,Kalite Mühendisliği ve Güvenirlik,Fakülte/Genel Seçmeli,Senior standing and GPA at least 2.00,3,0,3,5
Political Science and International Relations Department (in Turkish),EM 435,Zaman Serisi Analizi ve Tahminleri,Fakülte/Genel Seçmeli,Senior standing and GPA at least 2.00,3,0,3,5
Political Science and International Relations Department (in Turkish),EM 436,Ekonometri,Fakülte/Genel Seçmeli,Senior standing and GPA at least 2.00,0,0,3,5
Political Science and International Relations Department (in Turkish),EM 446,Üretim Planlama ve Kontrol,Fakülte/Genel Seçmeli,Senior standing and GPA at least 2.00,2,2,3,5
Political Science and International Relations Department (in Turkish),EM 451,Project Management,Fakülte/Genel Seçmeli,Senior standing and GPA at least 2.00,2,2,3,5
Political Science and International Relations Department (in Turkish),EM 458,Çizelgeleme ve Sıralama Teknikleri,Fakülte/Genel Seçmeli,Senior standing and GPA at least 2.00,3,0,3,5
Political Science and International Relations Department (in Turkish),EM 461,Bilgisayar Destekli Mühendislik,Fakülte/Genel Seçmeli,Senior standing and GPA at least 2.00,3,0,3,5
Political Science and International Relations Department (in Turkish),EM 462,Tedarik Zinciri Yönetimi,Fakülte/Genel Seçmeli,Senior standing and GPA at least 2.00,3,0,3,5
Political Science and International Relations Department (in Turkish),EM 463,Mühendisler için Finans,Fakülte/Genel Seçmeli,Senior standing and GPA at least 2.00,3,0,3,5
Political Science and International Relations Department (in Turkish),EM 471,Technology And R&D Management,Fakülte/Genel Seçmeli,Senior standing and GPA at least 2.00,3,0,3,5
Political Science and International Relations Department (in Turkish),EM 475,Stratejik Yönetim,Fakülte/Genel Seçmeli,Senior standing and GPA at least 2.00,3,0,3,5
Political Science and International Relations Department (in Turkish),FRE 101,French I,Fakülte/Genel Seçmeli,,0,0,3,5
Political Science and International Relations Department (in Turkish),FRE 102,French II,Fakülte/Genel Seçmeli,,0,0,3,5
Political Science and International Relations Department (in Turkish),FRE 201,French III,Fakülte/Genel Seçmeli,,0,0,3,5
Political Science and International Relations Department (in Turkish),FRE 202,French IV,Fakülte/Genel Seçmeli,,0,0,3,5
Political Science and International Relations Department (in Turkish),GER 101,German I,Fakülte/Genel Seçmeli,,0,0,3,5
Political Science and International Relations Department (in Turkish),GER 102,German II,Fakülte/Genel Seçmeli,,0,0,3,5
Political Science and International Relations Department (in Turkish),GER 201,German III,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),GER 202,German IV,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),GIR 100,Introduction To Business,Fakülte/Genel Seçmeli,,3,0,3,4
Political Science and International Relations Department (in Turkish),GIR 200,Internship I,Fakülte/Genel Seçmeli,,0,0,0,5
Political Science and International Relations Department (in Turkish),GIR 201,Sectors In Business World I,Fakülte/Genel Seçmeli,GIR 100,3,0,3,5
Political Science and International Relations Department (in Turkish),GIR 202,Sectors In Business World II,Fakülte/Genel Seçmeli,GIR 100,3,0,3,5
Political Science and International Relations Department (in Turkish),GIR 203,Financial Accounting,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),GIR 204,Managerial Accounting,Fakülte/Genel Seçmeli,GIR 203,3,0,3,5
Political Science and International Relations Department (in Turkish),GIR 205,Introduction To Statistics,Fakülte/Genel Seçmeli,,2,2,3,5
Political Science and International Relations Department (in Turkish),GIR 206,Statistical Analysis,Fakülte/Genel Seçmeli,GIR 205,2,2,3,5
Political Science and International Relations Department (in Turkish),GIR 208,Management And Organization,Fakülte/Genel Seçmeli,GIR 100,3,0,3,5
Political Science and International Relations Department (in Turkish),GIR 232,Law Of Obligations,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),GIR 300,Internship 2,Fakülte/Genel Seçmeli,,0,0,0,5
Political Science and International Relations Department (in Turkish),GIR 301,Human Resource Management,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),GIR 302,Entrepreneurship,Fakülte/Genel Seçmeli,GIR 100,3,0,3,5
Political Science and International Relations Department (in Turkish),GIR 303,Financial Management,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),GIR 304,Organizational Behavior,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),GIR 305,Marketing Management,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),GIR 306,Innovation Management,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),GIR 307,Business Model Development,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),GIR 309,Operations Management,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),GIR 331,Business Law,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),GIR 332,Tax Law,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),GIR 401,Strategic Management,Fakülte/Genel Seçmeli,GIR 100,3,0,3,7
Political Science and International Relations Department (in Turkish),GIR 402,Business Model Design,Fakülte/Genel Seçmeli,GIR 100,3,0,3,7
Political Science and International Relations Department (in Turkish),GIR 403,Social Entrepreneurship,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),GIR 404,Capital Markets And Financial Institutions,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),GIR 405,Digital Marketing,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),GIR 406,Venture Financing,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),GIR 407,Lean Entrepreneurship,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),GIR 408,Business Ethics And Corporate Social Responsibility,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),GIR 411,Family Business Management,Fakülte/Genel Seçmeli,GIR 100,3,0,3,6
Political Science and International Relations Department (in Turkish),GIR 432,Labor Law,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),GRE 101,Greek,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),GRE 102,Greek II,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),HIL 201,Introduction to Public Relations,Fakülte/Genel Seçmeli,,3,0,3,7
Political Science and International Relations Department (in Turkish),HIL 202,Integrated Marketing Communication,Fakülte/Genel Seçmeli,,3,0,3,7
Political Science and International Relations Department (in Turkish),HIL 205,Creative Thinking,Fakülte/Genel Seçmeli,,3,0,3,8
Political Science and International Relations Department (in Turkish),HIL 206,Copywriting,Fakülte/Genel Seçmeli,,3,0,3,8
Political Science and International Relations Department (in Turkish),HIL 213,Kurumsal Sosyal Sorumluluk,Fakülte/Genel Seçmeli,,2,2,3,5
Political Science and International Relations Department (in Turkish),HIL 214,Sosyal Medya Ve Halkla Ilişkiler,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),HIL 216,Masaüstü Yayıncılık,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),HIL 221,Introduction to Advertising,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),HIL 223,Interpersonal Communication,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),HIL 301,Corporate Communication,Fakülte/Genel Seçmeli,,2,2,3,7
Political Science and International Relations Department (in Turkish),HIL 302,Brand Management,Fakülte/Genel Seçmeli,,3,0,3,6
Political Science and International Relations Department (in Turkish),HIL 303,Public Relations Campaign,Fakülte/Genel Seçmeli,,3,0,3,7
Political Science and International Relations Department (in Turkish),HIL 304,Advertising Campaigns,Fakülte/Genel Seçmeli,,3,0,3,7
Political Science and International Relations Department (in Turkish),HIL 305,Public Relations and Social Media,Fakülte/Genel Seçmeli,,3,0,3,6
Political Science and International Relations Department (in Turkish),HIL 306,Research Design,Fakülte/Genel Seçmeli,,3,0,3,7
Political Science and International Relations Department (in Turkish),HIL 313,Stratejik Iletişim,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),HIL 314,Pazarlama Iletişimi,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),HIL 317,Tasarım Uygulamalari,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),HIL 319,Journalism Applications,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),HIL 401,Senior Project,Fakülte/Genel Seçmeli,,3,2,4,10
Political Science and International Relations Department (in Turkish),HIL 402,Senior Project Production,Fakülte/Genel Seçmeli,,3,2,4,10
Political Science and International Relations Department (in Turkish),HIL 403,Media Planning,Fakülte/Genel Seçmeli,,2,2,3,5
Political Science and International Relations Department (in Turkish),HIL 404,Consumer Behaviour,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),HIL 411,Televizyon Haberciliği,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),HIL 412,Yaratici Yazarlik,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),HIL 413,Kamuoyu Araştırmaları,Fakülte/Genel Seçmeli,,2,2,3,5
Political Science and International Relations Department (in Turkish),HIL 414,Kurumsal Imaj,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),HIL 423,Media and Ethics,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),ILT 201,Communication and Media,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),ILT 202,Communication Theories,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),LAT 101,Latin,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),LAT 102,Latin II,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),MAT 100,Mathematics for Business,Fakülte/Genel Seçmeli,,3,2,4,6
Political Science and International Relations Department (in Turkish),MAT 103,Calculus I - Differential,Fakülte/Genel Seçmeli,,3,2,4,6
Political Science and International Relations Department (in Turkish),MDB 100,Computer Skills,Fakülte/Genel Seçmeli,,0,0,1,2
Political Science and International Relations Department (in Turkish),MDB 101,Introduction to Programming,Fakülte/Genel Seçmeli,,2,2,3,5
Political Science and International Relations Department (in Turkish),MDB 102,Programming Practice,Fakülte/Genel Seçmeli,MDB 101,2,2,3,5
Political Science and International Relations Department (in Turkish),MGRE 101,Modern Greek I,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),MGRE 102,Modern Greek II,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),PERS 101,Persian I,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),PERS 102,Persian II,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),PSI 102,Introduction to Psychology,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),PSI 203,Statistics,Fakülte/Genel Seçmeli,PSI 102,3,2,4,7
Political Science and International Relations Department (in Turkish),PSI 204,Research Methods,Fakülte/Genel Seçmeli,"PSI 102, PSI 203",3,2,4,8
Political Science and International Relations Department (in Turkish),PSI 212,Social Psychology,Fakülte/Genel Seçmeli,PSI 102,3,0,3,6
Political Science and International Relations Department (in Turkish),PSI 231,Biological Psychology,Fakülte/Genel Seçmeli,PSI 102,3,0,3,6
Political Science and International Relations Department (in Turkish),PSI 252,Lifespan Developmental Psychology,Fakülte/Genel Seçmeli,PSI 102,3,0,3,6
Political Science and International Relations Department (in Turkish),PSI 261,Personality,Fakülte/Genel Seçmeli,PSI 102,3,0,3,6
Political Science and International Relations Department (in Turkish),PSI 311,Politik Psikoloji,Fakülte/Genel Seçmeli,At Least Success 56 crh,3,0,3,6
Political Science and International Relations Department (in Turkish),PSI 312,Kadın ve Cinsiyet Psikolojisi,Fakülte/Genel Seçmeli,At Least Success 56 crh,3,0,3,6
Political Science and International Relations Department (in Turkish),PSI 313,Kültür ve Çeşitlilik Psikolojisi,Fakülte/Genel Seçmeli,At Least Success 56 crh,3,0,3,6
Political Science and International Relations Department (in Turkish),PSI 314,Evrimsel Psikoloji,Fakülte/Genel Seçmeli,At Least Success 56 crh,3,0,3,6
Political Science and International Relations Department (in Turkish),PSI 317,Yakın İlişkiler,Fakülte/Genel Seçmeli,At Least Success 56 crh,3,0,3,6
Political Science and International Relations Department (in Turkish),PSI 319,Trafik Psikolojisi,Fakülte/Genel Seçmeli,At Least Success 56 crh,3,0,3,6
Political Science and International Relations Department (in Turkish),PSI 322,Introduction to Clinical Psychology,Fakülte/Genel Seçmeli,At Least Success 56 crh,3,0,3,6
Political Science and International Relations Department (in Turkish),PSI 323,Çocuk ve Ergen Psikopatolojisi,Fakülte/Genel Seçmeli,At Least Success 56 crh,3,0,3,6
Political Science and International Relations Department (in Turkish),PSI 325,Abnormal Psychology,Fakülte/Genel Seçmeli,At Least Success 56 crh,3,0,3,6
Political Science and International Relations Department (in Turkish),PSI 326,Cognitive Psychology,Fakülte/Genel Seçmeli,At Least Success 56 crh,2,2,3,6
Political Science and International Relations Department (in Turkish),PSI 328,Eğitim Psikolojisi,Fakülte/Genel Seçmeli,At Least Success 56 crh,3,0,3,6
Political Science and International Relations Department (in Turkish),PSI 330,School Psychology,Fakülte/Genel Seçmeli,At Least Success 56 crh,3,0,3,6
Political Science and International Relations Department (in Turkish),PSI 331,Duyum ve Algı,Fakülte/Genel Seçmeli,At Least Success 56 crh,3,0,3,6
Political Science and International Relations Department (in Turkish),PSI 332,Neuropsychology,Fakülte/Genel Seçmeli,At Least Success 56 crh,3,0,3,6
Political Science and International Relations Department (in Turkish),PSI 333,Organizational Psychology,Fakülte/Genel Seçmeli,At Least Success 56 crh,3,0,3,6
Political Science and International Relations Department (in Turkish),PSI 341,Learning,Fakülte/Genel Seçmeli,At Least Success 56 crh,3,0,3,6
Political Science and International Relations Department (in Turkish),PSI 380,Positive Psychology,Fakülte/Genel Seçmeli,At Least Success 56 crh,3,0,3,6
Political Science and International Relations Department (in Turkish),PSI 388,Vaka Çalışmaları,Fakülte/Genel Seçmeli,At Least Success 56 crh,3,0,3,6
Political Science and International Relations Department (in Turkish),PSI 391,Psikolojide Seçme Konular I,Fakülte/Genel Seçmeli,At Least Success 56 crh,3,0,3,6
Political Science and International Relations Department (in Turkish),PSI 392,Yönetimli Araştırma I,Fakülte/Genel Seçmeli,At Least Success 56 crh,3,0,3,6
Political Science and International Relations Department (in Turkish),PSI 393,Yönetimli Araştırma II,Fakülte/Genel Seçmeli,At Least Success 56 crh,3,0,3,6
Political Science and International Relations Department (in Turkish),PSI 394,Bağımsız Araştırma I,Fakülte/Genel Seçmeli,At Least Success 56 crh,3,0,3,6
Political Science and International Relations Department (in Turkish),PSI 402,Psikolojide Tarih ve Sistemler,Fakülte/Genel Seçmeli,At Least Success 68 Crh.,3,0,3,6
Political Science and International Relations Department (in Turkish),PSI 407,Psikolojide Meslek Etiği,Fakülte/Genel Seçmeli,At Least Success 68 Crh.,3,0,3,6
Political Science and International Relations Department (in Turkish),PSI 413,Family Psychology,Fakülte/Genel Seçmeli,At Least Success 68 Crh.,3,0,3,6
Political Science and International Relations Department (in Turkish),PSI 423,Travma Psikolojisi,Fakülte/Genel Seçmeli,At Least Success 68 Crh.,3,0,3,6
Political Science and International Relations Department (in Turkish),PSI 431,Sağlık Psikolojisi,Fakülte/Genel Seçmeli,At Least Success 68 Crh.,3,0,3,6
Political Science and International Relations Department (in Turkish),PSI 441,İnsan Hafızası,Fakülte/Genel Seçmeli,At Least Success 68 Crh.,3,0,3,6
Political Science and International Relations Department (in Turkish),PSI 452,Forensic Pyschology,Fakülte/Genel Seçmeli,At Least Success 68 Crh.,3,0,3,6
Political Science and International Relations Department (in Turkish),PSI 461,Motivasyon ve Duygu,Fakülte/Genel Seçmeli,At Least Success 68 Crh.,3,0,3,6
Political Science and International Relations Department (in Turkish),PSI 491,Psikolojide Seçme Konular II,Fakülte/Genel Seçmeli,At Least Success 68 Crh.,3,0,3,6
Political Science and International Relations Department (in Turkish),PSI 492,Yönetimli Araştırma III,Fakülte/Genel Seçmeli,"At Least Success 68 Crh., PSI 102",3,0,3,6
Political Science and International Relations Department (in Turkish),PSI 493,Yönetimli Araştırma IV,Fakülte/Genel Seçmeli,At Least Success 68 Crh.,3,0,3,6
Political Science and International Relations Department (in Turkish),PSI 494,Bağımsız Araştırma II,Fakülte/Genel Seçmeli,At Least Success 68 Crh.,3,0,3,6
Political Science and International Relations Department (in Turkish),PSI 495,Psikoloji Stajı,Fakülte/Genel Seçmeli,At Least Success 68 Crh.,3,0,0,6
Political Science and International Relations Department (in Turkish),RUS 101,Russian I,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),RUS 102,Russian II,Fakülte/Genel Seçmeli,,0,0,3,5
Political Science and International Relations Department (in Turkish),RUS 201,Russian III,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),SPA 101,Spanish I,Fakülte/Genel Seçmeli,,0,0,3,5
Political Science and International Relations Department (in Turkish),SPA 102,Spanish II,Fakülte/Genel Seçmeli,,0,0,3,5
Political Science and International Relations Department (in Turkish),STV 201,Basic Photography,Fakülte/Genel Seçmeli,,2,2,3,5
Political Science and International Relations Department (in Turkish),STV 202,Screenwriting,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),STV 203,Art of Storytelling,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),STV 204,Cinema History,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),STV 205,Basic Concepts of Cinema and TV,Fakülte/Genel Seçmeli,,3,0,3,5
Political Science and International Relations Department (in Turkish),STV 206,Sound in Cinema,Fakülte/Genel Seçmeli,,2,1,3,5
